distancePixel,angle,aspRatio,normalized_BBsize,relative_height,horizontal_offset,vertical_offset,log_distPix,distanceReal
68.9043,88.362,3,0.00153992,10.875,0.00410322,0.143492,4.24713,0.20
64.405,88.3072,1.14865,0.00383911,27.75,0.00396357,0.134119,4.1806,0.30
66.8204,89.1114,1.71154,0.00282471,19.5,0.0021589,0.139193,4.21686,0.25
69.0691,90.7241,1.0375,0.00405273,30,-0.00181859,0.143882,4.24948,0.36
70.7717,91.3303,1.02439,0.0042041,30.75,-0.00342296,0.147401,4.27349,0.38
73.7676,91.1675,1.04938,0.00420227,30.375,-0.00313132,0.153651,4.31438,0.40
84.9128,85.2571,0.975904,0.00410339,31.125,0.0146272,0.176296,4.45333,0.50
89.7372,88.0133,0.987342,0.00376099,29.625,0.00648129,0.18684,4.50797,0.55
94.8875,86.9201,0.974026,0.00352478,28.875,0.0106212,0.197397,4.56318,0.60
101.578,87.7427,0.947368,0.00333984,28.5,0.00833497,0.211457,4.63063,0.65
135.073,89.2408,0.97479,0.00210632,22.3125,0.00372845,0.281378,4.91319,1.10
114.709,87.7769,0.985075,0.00269897,25.125,0.00927028,0.238798,4.75108,0.80
110.455,87.097,0.985507,0.00286377,25.875,0.0116541,0.229819,4.71362,0.75
121.702,87.2425,0.96124,0.0024408,24.1875,0.0121978,0.253253,4.80976,0.90
132.389,87.3636,0.951613,0.00223267,23.25,0.0126868,0.275519,4.89327,1.05
103.259,87.8562,0.972603,0.00316345,27.375,0.00804713,0.214973,4.64688,0.68
125.247,87.4685,0.953125,0.00238281,24,0.0115249,0.260676,4.83824,0.95
144.867,86.6646,0.948276,0.00194702,21.75,0.0175594,0.301295,4.9827,1.30
143.519,89.0722,0.965517,0.00198242,21.75,0.00484143,0.298958,4.97341,1.27
137.509,89.326,0.966667,0.00212402,22.5,0.0033701,0.286458,4.93094,1.15
151.407,88.7807,0.962963,0.00171387,20.25,0.0067124,0.315361,5.02656,1.43
156.647,89.0078,0.98,0.00149536,18.75,0.00565127,0.326299,5.06036,1.53
158.539,88.699,0.98,0.00149536,18.75,0.00749907,0.330205,5.07229,1.59
143.881,89.4201,0.964286,0.0018457,21,0.00303378,0.299737,4.97591,1.27
107.736,84.8994,0.957143,0.00286255,26.25,0.0199547,0.223562,4.68893,0.74
164.144,89.1087,1,0.0012915,17.25,0.00531939,0.341925,5.10682,1.75
167.511,89.3087,0.956522,0.00123535,17.25,0.00421026,0.348956,5.127,1.86
104.808,87.2449,0.972222,0.00307617,27,0.0104954,0.218097,4.66162,0.71
123.298,88.392,0.955224,0.00261719,25.125,0.00720798,0.25677,4.82268,0.93
165.743,87.8273,0.9375,0.00131836,18,0.0130907,0.34505,5.11645,1.78
176.646,87.6512,0.97619,0.00105103,15.75,0.0150821,0.367704,5.1798,2.16
181.041,88.7795,1.02778,0.000812988,13.5,0.00803371,0.377082,5.20423,2.35
183.148,86.8683,1,0.000791016,13.5,0.0208451,0.380989,5.21574,2.48
188.347,87.2113,1.03333,0.000567627,11.25,0.0190905,0.391925,5.24358,2.73
191.692,87.4222,1,0.000549316,11.25,0.0179618,0.398955,5.26109,2.99
196.571,87.4264,1,0.000478516,10.5,0.0183884,0.409111,5.2861,3.35
194.791,86.8658,1.03571,0.000495605,10.5,0.0221875,0.405208,5.27705,3.20
197.403,86.9537,1.03846,0.000428467,9.75,0.0218553,0.410676,5.2903,3.38
198.667,88.8212,1,0.000412598,9.75,0.00851496,0.413802,5.29665,3.57
200.276,87.7786,1.04167,0.000366211,9,0.0161728,0.416927,5.30468,3.70
201.024,87.7907,0.961538,0.000396729,9.75,0.0161446,0.418488,5.30839,3.84
202.807,88.6353,1.04167,0.000366211,9,0.0100631,0.422395,5.31717,4.02
204.772,87.8224,1.04545,0.000308838,8.25,0.0162097,0.426301,5.32677,4.24
205.896,87.8341,1.04545,0.000308838,8.25,0.0162114,0.428644,5.33222,4.40
207.02,87.8456,1,0.00029541,8.25,0.0162131,0.430988,5.33764,4.58
208.18,87.6042,0.954545,0.000281982,8.25,0.0181299,0.433329,5.3432,4.80
209.417,86.9634,0.954545,0.000281982,8.25,0.0231116,0.435673,5.34909,5.00
200.29,87.6737,1.04167,0.000366211,9,0.0169368,0.416926,5.30474,3.67
193.61,87.1718,1,0.000478516,10.5,0.0199023,0.402863,5.271,3.13
188.338,87.2719,1,0.000625,12,0.0186751,0.391926,5.24353,2.75
49.6147,2.5646,0.866667,0.00428467,33.75,0.10326,0.0046251,3.92424,0.25
63.1682,3.28976,1.02353,0.00451355,31.875,0.131384,0.00755197,4.16151,0.37
131.532,355.133,1.05091,0.0434438,97.5938,0.273038,-0.0232477,4.88683,0.30
80.8796,0.549254,0.976562,0.00976562,48,0.168491,0.00161526,4.40525,0.30
161.51,359.059,0.968326,0.028866,82.875,0.336434,-0.00552728,5.09074,0.40
149.121,359.536,1,0.0141016,57,0.310659,-0.00251413,5.01144,0.50
144.83,354.632,0.865385,0.051416,117,0.300406,-0.0282293,4.98244,0.25
86.8678,359.763,0.994505,0.0201062,68.25,0.180973,-0.000748983,4.47583,0.25
63.9973,359.917,0.991667,0.00871582,45,0.133328,-0.000193088,4.17435,0.25
77.6925,359.051,0.981982,0.00738464,41.625,0.161837,-0.00268011,4.36555,0.35
146.485,359.405,1.05579,0.0349841,87.375,0.305161,-0.00316845,4.99373,0.35
172.015,358.958,1.04459,0.0157153,58.875,0.358306,-0.00651666,5.15338,0.60
164.909,1.1039,1,0.00938477,46.5,0.343497,0.00661888,5.11144,0.70
70.3775,359.42,1.01176,0.00446167,31.875,0.146612,-0.00148307,4.26798,0.42
85.7594,359.079,0.987952,0.00415405,31.125,0.178642,-0.00287064,4.46314,0.55
100.376,359.656,0.986842,0.003479,28.5,0.209113,-0.00125628,4.61884,0.68
114.849,358.519,1.01429,0.00303345,26.25,0.23919,-0.00618393,4.75229,0.84
129.091,358.809,1.02344,0.00255859,24,0.268881,-0.00558807,4.86823,1.03
140.357,358.538,1.025,0.0022522,22.5,0.292316,-0.0074598,4.95129,1.20
147.317,358.253,1,0.00191406,21,0.306768,-0.00935861,4.99935,1.33
152.203,358.173,1.03704,0.0018457,20.25,0.316928,-0.0101095,5.03176,1.43
160.433,358.446,1.03846,0.00171387,19.5,0.334112,-0.00906316,5.08409,1.61
164.526,358.97,1.02041,0.00149536,18.375,0.342708,-0.00615938,5.10913,1.72
168.66,358.813,1.04167,0.00146484,18,0.3513,-0.00727764,5.1338,1.85
172.43,358.536,1.02222,0.00126343,16.875,0.359113,-0.00917623,5.15578,1.94
175.825,358.33,1.04545,0.00123535,16.5,0.366146,-0.0106741,5.17516,2.10
179.938,358.478,1.04762,0.00112793,15.75,0.374739,-0.00995983,5.19816,2.24
182.908,358.893,1.02439,0.00105103,15.375,0.380988,-0.00736511,5.21444,2.36
186.321,358.411,1.05263,0.000927734,14.25,0.388019,-0.0107644,5.23282,2.52
187.798,358.698,1.05263,0.000927734,14.25,0.391145,-0.00888966,5.24068,2.61
187.066,358.469,1.02703,0.000858154,13.875,0.389582,-0.0104106,5.23679,2.55
190.806,358.607,1.05556,0.000834961,13.5,0.397394,-0.00966499,5.25648,2.77
193.637,357.014,1.05882,0.00074707,12.75,0.402863,-0.0210113,5.27114,2.93
198.3,358.705,1.0625,0.000664063,12,0.41302,-0.00933521,5.29481,3.25
200.921,358.771,1.03226,0.000605469,11.625,0.418489,-0.00897665,5.30788,3.45
202.425,358.726,1.03448,0.000531006,10.875,0.421615,-0.00937485,5.3153,3.60
205.042,358.844,1.03448,0.000531006,10.875,0.427083,-0.00861771,5.32808,3.84
52.2511,35.2226,0.878049,0.00360352,30.75,0.0889267,0.0627834,3.97502,0.27
58.1737,24.8865,0.977778,0.00483398,33.75,0.109941,0.0510017,4.08048,0.34
89.9874,22.1779,1,0.0038092,29.625,0.173604,0.0707683,4.51072,0.59
147.071,26.1596,1.02416,0.0452328,100.875,0.275013,0.135083,4.99769,0.27
85.1997,28.3945,0.986667,0.0135498,56.25,0.156145,0.084408,4.45667,0.27
62.203,25.8004,0.974359,0.00814087,43.875,0.116671,0.0564022,4.14635,0.27
153.566,25.247,1.06161,0.0288477,79.125,0.289368,0.136456,5.04062,0.40
105.506,23.4478,1,0.0104742,49.125,0.201653,0.0874625,4.6682,0.40
84.8781,21.0567,0.973684,0.00772339,42.75,0.165022,0.0635333,4.45293,0.40
181.585,25.1651,1.03704,0.0226099,70.875,0.342395,0.160864,5.20721,0.55
118.264,22.266,0.97479,0.00842529,44.625,0.228012,0.0933568,4.78134,0.55
106.689,23.5989,0.972222,0.00307617,27,0.20368,0.0889808,4.67924,0.74
79.8588,24.8474,1,0.00420471,31.125,0.150971,0.0699101,4.3927,0.50
70.2865,17.5214,0.976744,0.00440918,32.25,0.139636,0.0440846,4.26671,0.43
102.215,18.3671,1,0.00334229,27.75,0.2021,0.0671008,4.63681,0.70
